date,t2m,prectotcorr,country
2015-01-01,11.73,0.0,All
2015-01-02,12.3,0.0,All
2015-01-03,12.49,0.0,All
2015-01-04,14.08,0.0,All
2015-01-05,14.06,0.0,All
2015-01-06,14.26,0.0,All
2015-01-07,14.37,0.0,All
2015-01-08,14.18,0.0,All
2015-01-09,13.89,0.0,All
2015-01-10,14.25,0.04,All
2015-01-11,13.98,0.07,All
2015-01-12,14.27,0.04,All
2015-01-13,13.75,0.02,All
2015-01-14,13.81,0.0,All
2015-01-15,14.05,0.0,All
2015-01-16,13.73,0.0,All
2015-01-17,14.63,0.01,All
2015-01-18,15.58,0.05,All
2015-01-19,15.22,1.27,All
2015-01-20,15.15,2.16,All
2015-01-21,15.55,0.27,All
2015-01-22,15.29,0.01,All
2015-01-23,14.94,0.0,All
2015-01-24,15.07,0.0,All
2015-01-25,14.48,0.0,All
2015-01-26,13.2,0.0,All
2015-01-27,14.45,0.0,All
2015-01-28,14.38,0.0,All
2015-01-29,14.3,0.0,All
2015-01-30,14.45,0.0,All
2015-01-31,14.68,0.0,All
2015-02-01,14.18,0.0,All
2015-02-02,14.32,0.0,All
2015-02-03,14.9,0.0,All
2015-02-04,15.05,0.0,All
2015-02-05,14.99,0.0,All
2015-02-06,15.37,0.65,All
2015-02-07,15.45,0.0,All
2015-02-08,17.47,0.07,All
2015-02-09,17.64,0.03,All
2015-02-10,16.44,0.0,All
2015-02-11,17.24,0.0,All
2015-02-12,17.56,0.0,All
2015-02-13,16.93,0.0,All
2015-02-14,17.67,0.0,All
2015-02-15,18.18,1.58,All
2015-02-16,17.28,1.53,All
2015-02-17,17.23,2.91,All
2015-02-18,17.54,1.09,All
2015-02-19,17.56,0.01,All
2015-02-20,18.4,0.01,All
2015-02-21,18.55,0.05,All
2015-02-22,17.44,0.28,All
2015-02-23,17.67,0.2,All
2015-02-24,17.75,0.03,All
2015-02-25,17.78,0.0,All
2015-02-26,17.72,0.0,All
2015-02-27,16.82,0.0,All
2015-02-28,17.08,0.0,All
2015-03-01,17.02,0.0,All
2015-03-02,17.11,0.0,All
2015-03-03,17.01,0.0,All
2015-03-04,17.31,0.0,All
2015-03-05,17.02,0.0,All
2015-03-06,17.35,0.0,All
2015-03-07,17.41,0.0,All
2015-03-08,17.17,0.0,All
2015-03-09,16.85,0.0,All
2015-03-10,17.65,0.0,All
2015-03-11,18.67,0.0,All
2015-03-12,19.37,2.0,All
2015-03-13,19.23,0.26,All
2015-03-14,17.89,0.0,All
2015-03-15,17.98,0.0,All
2015-03-16,18.61,0.0,All
2015-03-17,19.17,0.36,All
2015-03-18,18.79,0.13,All
2015-03-19,18.86,1.26,All
2015-03-20,18.92,1.0,All
2015-03-21,18.38,4.46,All
2015-03-22,17.52,4.36,All
2015-03-23,17.21,2.31,All
2015-03-24,16.76,1.76,All
2015-03-25,17.5,1.17,All
2015-03-26,18.04,0.29,All
2015-03-27,18.66,0.0,All
2015-03-28,18.48,0.0,All
2015-03-29,19.31,0.0,All
2015-03-30,18.3,0.0,All
2015-03-31,18.3,0.0,All
2015-04-01,18.66,0.0,All
2015-04-02,18.74,0.0,All
2015-04-03,18.57,0.04,All
2015-04-04,19.06,0.01,All
2015-04-05,18.92,0.0,All
2015-04-06,19.12,0.01,All
2015-04-07,19.91,0.28,All
2015-04-08,19.65,0.03,All
2015-04-09,19.22,1.08,All
2015-04-10,19.89,0.01,All
2015-04-11,20.58,0.0,All
2015-04-12,19.54,0.01,All
2015-04-13,18.03,0.08,All
2015-04-14,18.84,0.35,All
2015-04-15,18.87,0.42,All
2015-04-16,18.8,0.28,All
2015-04-17,17.84,0.0,All
2015-04-18,18.56,0.0,All
2015-04-19,19.86,0.02,All
2015-04-20,19.77,0.0,All
2015-04-21,18.87,0.01,All
2015-04-22,19.85,0.01,All
2015-04-23,20.07,0.08,All
2015-04-24,20.46,0.0,All
2015-04-25,20.7,2.72,All
2015-04-26,19.35,1.49,All
2015-04-27,19.66,0.21,All
2015-04-28,19.33,0.05,All
2015-04-29,18.8,0.0,All
2015-04-30,19.55,0.0,All
2015-05-01,20.06,0.0,All
2015-05-02,19.51,0.48,All
2015-05-03,18.86,2.85,All
2015-05-04,16.91,5.54,All
2015-05-05,16.28,5.85,All
2015-05-06,16.05,16.47,All
2015-05-07,17.3,1.77,All
2015-05-08,16.71,3.46,All
2015-05-09,17.73,4.25,All
2015-05-10,16.4,7.2,All
2015-05-11,17.51,2.37,All
2015-05-12,18.41,0.55,All
2015-05-13,19.02,0.01,All
2015-05-14,18.81,0.63,All
2015-05-15,19.19,0.09,All
2015-05-16,18.69,0.0,All
2015-05-17,19.09,0.0,All
2015-05-18,19.79,0.0,All
2015-05-19,19.12,0.0,All
2015-05-20,19.65,0.0,All
2015-05-21,20.18,0.03,All
2015-05-22,19.72,3.45,All
2015-05-23,19.11,7.54,All
2015-05-24,19.96,4.96,All
2015-05-25,18.45,29.07,All
2015-05-26,17.6,34.38,All
2015-05-27,17.25,1.52,All
2015-05-28,15.62,6.77,All
2015-05-29,16.1,1.39,All
2015-05-30,17.55,0.9,All
2015-05-31,17.75,0.88,All
2015-06-01,17.6,0.93,All
2015-06-02,16.06,4.55,All
2015-06-03,17.01,0.0,All
2015-06-04,18.08,0.03,All
2015-06-05,18.25,0.14,All
2015-06-06,18.46,0.1,All
2015-06-07,18.19,1.44,All
2015-06-08,17.95,0.41,All
2015-06-09,17.83,3.35,All
2015-06-10,18.45,3.08,All
2015-06-11,18.73,2.77,All
2015-06-12,18.75,2.97,All
2015-06-13,18.72,1.7,All
2015-06-14,18.97,1.58,All
2015-06-15,19.57,1.91,All
2015-06-16,19.08,2.03,All
2015-06-17,18.99,2.15,All
2015-06-18,18.94,3.21,All
2015-06-19,18.76,4.8,All
2015-06-20,18.7,0.99,All
2015-06-21,17.92,5.64,All
2015-06-22,16.34,14.32,All
2015-06-23,15.95,8.72,All
2015-06-24,15.93,17.52,All
2015-06-25,16.58,11.2,All
2015-06-26,16.51,8.96,All
2015-06-27,15.79,23.89,All
2015-06-28,15.78,9.68,All
2015-06-29,15.65,14.68,All
2015-06-30,16.06,4.47,All
2015-07-01,16.16,0.9,All
2015-07-02,16.41,0.38,All
2015-07-03,16.29,0.88,All
2015-07-04,16.61,0.61,All
2015-07-05,16.42,2.9,All
2015-07-06,17.08,2.22,All
2015-07-07,17.43,1.22,All
2015-07-08,18.17,0.91,All
2015-07-09,17.45,10.52,All
2015-07-10,17.22,13.17,All
2015-07-11,17.9,8.66,All
2015-07-12,17.1,5.1,All
2015-07-13,16.28,18.65,All
2015-07-14,15.49,3.09,All
2015-07-15,16.45,7.84,All
2015-07-16,16.15,21.63,All
2015-07-17,16.66,9.1,All
2015-07-18,16.65,17.74,All
2015-07-19,16.68,7.57,All
2015-07-20,16.48,11.68,All
2015-07-21,16.28,16.45,All
2015-07-22,16.62,5.87,All
2015-07-23,16.24,8.87,All
2015-07-24,16.18,13.32,All
2015-07-25,16.71,2.97,All
2015-07-26,17.31,1.31,All
2015-07-27,17.34,9.74,All
2015-07-28,16.49,6.13,All
2015-07-29,16.52,4.25,All
2015-07-30,15.84,11.34,All
2015-07-31,15.69,9.48,All
2015-08-01,15.37,9.67,All
2015-08-02,15.61,7.49,All
2015-08-03,15.97,23.46,All
2015-08-04,16.23,11.18,All
2015-08-05,16.28,19.73,All
2015-08-06,14.97,20.57,All
2015-08-07,15.31,16.0,All
2015-08-08,15.52,6.0,All
2015-08-09,16.74,2.47,All
2015-08-10,15.99,17.4,All
2015-08-11,16.35,2.71,All
2015-08-12,17.13,4.34,All
2015-08-13,16.7,15.56,All
2015-08-14,15.51,22.27,All
2015-08-15,14.6,11.91,All
2015-08-16,15.67,8.88,All
2015-08-17,16.25,3.05,All
2015-08-18,16.27,5.21,All
2015-08-19,15.74,15.58,All
2015-08-20,16.84,1.9,All
2015-08-21,16.76,5.53,All
2015-08-22,16.35,6.63,All
2015-08-23,16.11,2.34,All
2015-08-24,16.11,5.32,All
2015-08-25,15.82,6.8,All
2015-08-26,15.35,3.61,All
2015-08-27,15.92,2.81,All
2015-08-28,15.55,10.69,All
2015-08-29,16.23,5.22,All
2015-08-30,16.66,2.44,All
2015-08-31,15.86,5.4,All
2015-09-01,16.05,0.74,All
2015-09-02,16.28,0.53,All
2015-09-03,16.63,0.93,All
2015-09-04,16.99,3.4,All
2015-09-05,16.38,4.58,All
2015-09-06,16.97,2.16,All
2015-09-07,16.2,2.76,All
2015-09-08,15.76,9.58,All
2015-09-09,14.55,9.09,All
2015-09-10,15.89,1.67,All
2015-09-11,15.69,0.81,All
2015-09-12,16.15,0.54,All
2015-09-13,15.63,2.68,All
2015-09-14,15.81,2.91,All
2015-09-15,15.48,4.37,All
2015-09-16,15.77,0.33,All
2015-09-17,15.59,2.3,All
2015-09-18,16.3,1.67,All
2015-09-19,15.96,1.49,All
2015-09-20,16.79,0.45,All
2015-09-21,16.86,0.31,All
2015-09-22,15.57,1.7,All
2015-09-23,16.16,1.38,All
2015-09-24,15.59,5.05,All
2015-09-25,15.28,0.35,All
2015-09-26,14.94,0.74,All
2015-09-27,15.72,2.02,All
2015-09-28,15.87,3.69,All
2015-09-29,15.78,8.66,All
2015-09-30,15.06,0.22,All
2015-10-01,14.45,0.28,All
2015-10-02,14.62,0.13,All
2015-10-03,14.46,0.01,All
2015-10-04,14.71,0.02,All
2015-10-05,14.86,1.08,All
2015-10-06,16.11,3.95,All
2015-10-07,15.86,0.48,All
2015-10-08,16.04,0.27,All
2015-10-09,15.54,0.01,All
2015-10-10,15.58,0.02,All
2015-10-11,15.98,0.16,All
2015-10-12,16.16,0.03,All
2015-10-13,15.55,0.0,All
2015-10-14,14.98,0.0,All
2015-10-15,15.06,0.0,All
2015-10-16,14.88,0.0,All
2015-10-17,15.19,0.03,All
2015-10-18,13.73,0.33,All
2015-10-19,15.56,0.04,All
2015-10-20,15.73,0.03,All
2015-10-21,15.25,0.01,All
2015-10-22,15.26,0.0,All
2015-10-23,15.43,0.09,All
2015-10-24,14.95,0.0,All
2015-10-25,14.96,0.0,All
2015-10-26,16.22,0.0,All
2015-10-27,16.02,0.0,All
2015-10-28,15.78,0.17,All
2015-10-29,15.38,0.1,All
2015-10-30,15.7,0.17,All
2015-10-31,16.16,0.76,All
2015-11-01,16.22,1.8,All
2015-11-02,15.61,0.48,All
2015-11-03,16.1,0.87,All
2015-11-04,15.95,0.38,All
2015-11-05,15.72,0.67,All
2015-11-06,15.86,0.28,All
2015-11-07,15.83,1.71,All
2015-11-08,15.34,0.09,All
2015-11-09,14.8,0.05,All
2015-11-10,16.29,0.41,All
2015-11-11,16.66,0.95,All
2015-11-12,15.22,4.39,All
2015-11-13,15.15,2.11,All
2015-11-14,13.94,0.03,All
2015-11-15,13.05,0.0,All
2015-11-16,14.14,0.09,All
2015-11-17,15.69,0.2,All
2015-11-18,15.58,0.66,All
2015-11-19,14.87,0.07,All
2015-11-20,14.6,0.0,All
2015-11-21,13.61,0.0,All
2015-11-22,13.21,0.0,All
2015-11-23,13.16,0.09,All
2015-11-24,13.93,0.0,All
2015-11-25,15.47,0.04,All
2015-11-26,14.19,0.2,All
2015-11-27,14.37,1.81,All
2015-11-28,15.15,0.17,All
2015-11-29,14.46,0.28,All
2015-11-30,14.09,0.04,All
2015-12-01,15.62,0.02,All
2015-12-02,15.19,0.79,All
2015-12-03,14.13,0.01,All
2015-12-04,14.38,0.04,All
2015-12-05,15.93,0.33,All
2015-12-06,16.58,3.21,All
2015-12-07,16.35,4.26,All
2015-12-08,16.34,1.11,All
2015-12-09,15.68,1.16,All
2015-12-10,15.31,2.56,All
2015-12-11,15.53,6.44,All
2015-12-12,14.81,2.05,All
2015-12-13,15.86,1.38,All
2015-12-14,15.92,1.87,All
2015-12-15,15.63,0.22,All
2015-12-16,14.76,0.08,All
2015-12-17,14.61,0.02,All
2015-12-18,14.9,0.02,All
2015-12-19,14.89,0.02,All
2015-12-20,14.06,0.1,All
2015-12-21,13.52,0.01,All
2015-12-22,14.21,0.0,All
2015-12-23,13.99,0.0,All
2015-12-24,14.9,0.04,All
2015-12-25,14.78,1.07,All
2015-12-26,15.37,0.33,All
2015-12-27,15.4,0.83,All
2015-12-28,13.64,0.03,All
2015-12-29,13.71,0.03,All
2015-12-30,16.04,0.0,All
2015-12-31,16.62,0.04,All
2016-01-01,15.97,0.01,All
2016-01-02,15.42,0.0,All
2016-01-03,14.82,0.88,All
2016-01-04,15.39,0.24,All
2016-01-05,15.51,0.09,All
2016-01-06,16.75,0.66,All
2016-01-07,16.89,0.97,All
2016-01-08,16.98,1.38,All
2016-01-09,17.8,0.77,All
2016-01-10,17.46,0.21,All
2016-01-11,16.79,0.86,All
2016-01-12,15.93,3.07,All
2016-01-13,15.83,3.33,All
2016-01-14,15.92,6.18,All
2016-01-15,14.59,10.99,All
2016-01-16,14.71,1.37,All
2016-01-17,15.76,0.22,All
2016-01-18,15.83,0.04,All
2016-01-19,16.45,0.02,All
2016-01-20,15.92,0.0,All
2016-01-21,15.65,0.0,All
2016-01-22,16.26,0.0,All
2016-01-23,16.11,0.0,All
2016-01-24,16.32,0.0,All
2016-01-25,15.73,0.0,All
2016-01-26,14.93,0.0,All
2016-01-27,16.22,0.0,All
2016-01-28,16.63,0.11,All
